,AI,EF,issn,journal,nlmuniqueid,rank
0,20.373,1.65524,0028-0836,NATURE,0410462,1
1,4.8961,1.60168,0027-8424,P NATL ACAD SCI USA,7505876,2
2,17.5248,1.41162,0036-8075,SCIENCE,0404511,3
3,3.5175,1.14457,0031-9007,PHYS REV LETT,0401141,4
4,2.7989,0.817303,0002-7863,J AM CHEM SOC,7503056,5
5,1.4281,0.756039,1098-0121,PHYS REV B,,6
6,2.0307,0.742127,0021-9258,J BIOL CHEM,2985121R,7
7,1.3875,0.675752,0003-6951,APPL PHYS LETT,,8
8,21.304,0.66383,0028-4793,NEW ENGL J MED,0255562,9
9,20.554,0.660816,0092-8674,CELL,0413066,10
10,3.3776,0.514213,1433-7851,ANGEW CHEM INT EDIT,0370543,11
11,1.7984,0.501622,1932-6203,PLOS ONE,101285081,12
12,3.2549,0.449625,0270-6474,J NEUROSCI,8102140,13
13,1.8047,0.429616,0004-637X,ASTROPHYS J,9890633,14
14,3.692,0.427942,0006-4971,BLOOD,7603509,15
15,5.56,0.394631,0732-183X,J CLIN ONCOL,8309333,16
16,2.2661,0.369891,0022-1767,J IMMUNOL,2985117R,17
17,3.0995,0.362734,0008-5472,CANCER RES,2984705R,18
18,13.6107,0.360954,0140-6736,LANCET,2985213R,19
19,5.0701,0.345906,1530-6984,NANO LETT,101088070,20
20,5.9733,0.339278,0009-7322,CIRCULATION,0147763,21
21,1.4057,0.332456,0148-0227,J GEOPHYS RES,100971480,22
22,17.5835,0.329901,1061-4036,NAT GENET,9216904,23
23,3.0072,0.304882,0305-1048,NUCLEIC ACIDS RES,0411011,24
24,0.8355,0.301562,0021-8979,J APPL PHYS,2985119R,25
25,1.2451,0.300804,1550-7998,PHYS REV D,,26
26,13.111,0.285664,0098-7484,JAMA-J AM MED ASSOC,7501160,27
27,1.3421,0.284716,1932-7447,J PHYS CHEM C,,28
28,4.0706,0.262413,0935-9648,ADV MATER,9885358,29
29,1.4742,0.254252,0004-6361,ASTRON ASTROPHYS,100971304,30
30,8.9479,0.250753,1097-2765,MOL CELL,9802571,31
31,1.6034,0.248839,0035-8711,MON NOT R ASTRON SOC,100954591,32
32,1.1608,0.246515,1520-6106,J PHYS CHEM B,,33
33,1.5516,0.241003,1359-7345,CHEM COMMUN,9610838,34
34,1.1685,0.240848,1094-4087,OPT EXPRESS,101137103,35
35,1.9391,0.23991,0094-8276,GEOPHYS RES LETT,9882887,36
36,0.9931,0.232653,0021-9606,J CHEM PHYS,0375360,37
37,8.5079,0.227501,0896-6273,NEURON,8809320,38
38,1.1824,0.22322,0743-7463,LANGMUIR,9882736,39
39,17.9245,0.220911,1476-1122,NAT MATER,101155473,40
40,4.884,0.22035,0735-1097,J AM COLL CARDIOL,8301365,41
41,0.9797,0.219831,1050-2947,PHYS REV A,9887339,42
42,6.9507,0.218367,0021-9738,J CLIN INVEST,7802877,43
43,13.3332,0.214699,0009-2665,CHEM REV,2985134R,44
44,8.0181,0.209552,0890-9369,GENE DEV,8711660,45
45,2.538,0.20597,1078-0432,CLIN CANCER RES,9502500,46
46,0.958,0.205905,1539-3755,PHYS REV E,101136452,47
47,1.5928,0.190607,0022-538X,J VIROL,0113724,48
48,1.6039,0.189289,0013-936X,ENVIRON SCI TECHNOL,0213155,49
49,7.8344,0.188512,0022-1007,J EXP MED,2985109R,50
50,1.4158,0.187963,1523-7060,ORG LETT,,51
51,5.5788,0.186318,0021-9525,J CELL BIOL,0375356,52
52,5.8882,0.186069,0960-9822,CURR BIOL,9107782,53
53,1.5531,0.17583,0003-2700,ANAL CHEM,0370536,54
54,23.8609,0.17417,1471-0072,NAT REV MOL CELL BIO,100962782,55
55,3.0188,0.173844,0270-7306,MOL CELL BIOL,8109087,56
56,4.8671,0.173348,0261-4189,EMBO J,8208664,57
57,13.6075,0.172449,1745-2473,NAT PHYS,,58
58,2.8204,0.171682,0950-9232,ONCOGENE,8711562,59
59,1.5319,0.169081,0947-6539,CHEM-EUR J,9513783,60
60,1.459,0.167126,1126-6708,J HIGH ENERGY PHYS,,61
61,12.1561,0.165425,1078-8956,NAT MED,9502015,62
62,13.4347,0.163359,1529-2908,NAT IMMUNOL,100941354,63
63,1.8228,0.161968,0022-2836,J MOL BIOL,2985088R,64
64,1.2683,0.161774,0006-2960,BIOCHEMISTRY-US,0370623,65
65,0.826,0.160561,0006-291X,BIOCHEM BIOPH RES CO,0372516,66
66,8.6177,0.159631,1097-6256,NAT NEUROSCI,9809671,67
67,2.6073,0.159043,1367-4803,BIOINFORMATICS,9808944,68
68,11.6513,0.158769,1465-7392,NAT CELL BIOL,100890575,69
69,1.9154,0.158362,0897-4756,CHEM MATER,9884133,70
70,4.0273,0.157326,2041-8205,ASTROPHYS J LETT,,71
71,11.9807,0.157105,1074-7613,IMMUNITY,9432918,72
72,4.5144,0.1564,0016-5085,GASTROENTEROLOGY,0374630,73
73,5.1071,0.154264,1553-7390,PLOS GENET,101239074,74
74,2.1619,0.153561,1053-8119,NEUROIMAGE,9215515,75
75,1.2404,0.149937,0024-9297,MACROMOLECULES,0365316,76
76,7.8352,0.149589,1544-9173,PLOS BIOL,101183755,77
77,5.4044,0.144018,0959-535X,BRIT MED J,8900488,78
78,2.6719,0.143825,0028-3878,NEUROLOGY,0401060,79
79,2.0296,0.142864,0031-4005,PEDIATRICS,0376422,80
80,1.2359,0.13861,0957-4484,NANOTECHNOLOGY,101241272,81
81,3.6755,0.138526,0950-1991,DEVELOPMENT,8701744,82
82,1.0569,0.138461,0022-3263,J ORG CHEM,2985193R,83
83,8.0889,0.136779,0306-0012,CHEM SOC REV,0335405,84
84,1.0117,0.135787,0953-8984,J PHYS-CONDENS MAT,101165248,85
