,issn,nlmuniqueid
0,,
1,1087-0792,9804678
2,0303-691X,0427176
3,1087-0024,9609059
4,0098-8235,7514189
5,0192-9720,100971813
6,1748-7161,101271527
7,0093-0423,7509335
8,0269-2325,101091058
9,1471-2377,100968555
10,0308-5821,101090756
11,1138-9672,100890196
12,0147-0353,7801228
13,0024-0915,100966853
14,0890-3344,8709498
15,0733-155X,101082887
16,0141-7681,7806055
17,0732-0515,9878834
18,1045-1056,9004494
19,0368-1610,17840150R
20,0035-6905,0404364
21,0022-1031,0045332
22,0018-5620,0152562
23,0035-2683,100966326
24,1542-8826,100954650
25,1674-2818,101504351
26,1016-8710,9004485
27,0046-2233,0372224
28,1872-2156,101299745
29,1064-0266,9315161
30,0033-8354,0401253
31,0740-0020,8601127
32,0364-2097,100972964
33,1064-8011,9415084
34,0081-1580,100968316
35,0004-1947,0370603
36,0192-6187,7905705
37,0002-838X,1272646
38,1560-4284,100962067
39,0008-8137,100971792
40,1474-9718,101130839
41,1551-8906,101209410
42,0197-9981,8003226
43,0300-9777,0342050
44,1051-7472,0004334
45,0794-859X,8811109
46,0301-5130,0405361
47,0976-2361,101552967
48,1058-0832,9425420
49,0020-7667,0410453
50,0040-4969,101535583
51,1059-0153,9214649
52,1470-269X,101083949
53,0161-6978,101227536
54,0003-5548,0372377
55,0162-8267,100967791
56,1748-2941,101276603
57,0921-2728,100971577
58,0544-1374,101095603
59,0368-3303,100968601
60,0323-4398,0314702
61,0924-4212,9005324
62,0019-6568,7507203
63,0026-475X,0400727
64,0038-5360,101088145
65,0036-7494,7503414
66,0036-1984,101092100
67,0393-5590,9426434
68,0012-9798,100967164
69,2046-1682,101555455
70,1010-3384,9882221
71,0007-3490,9877755
72,0237-6261,8701158
73,0267-5730,100973139
74,0197-9183,0253002
75,0035-7820,0404365
76,1044-0690,8910181
77,2046-2336,101554473
78,1053-0770,9110208
79,0231-5157,7901950
80,0303-643X,0436033
81,0368-2994,18420280R
82,0042-4846,0412751
83,0272-4936,8210625
84,0015-5640,0010076
85,1082-801X,9513311
86,0971-5916,0374701
87,0044-5177,0417423
88,0725-2986,100971365
89,0035-676X,100970156
90,0950-6764,101085092
91,0023-4923,100968304
92,0301-4622,0403171
93,0022-393X,0203241
94,0159-8910,101091415
95,0253-9675,9009901
96,1471-0153,101090048
97,0100-7122,101088347
98,0075-2541,100968152
99,1091-255X,9706084
100,0887-8013,8801384
101,0895-8211,8708694
102,0250-7870,8209876
103,0218-348X,100971503
104,0737-4674,8106383
105,1758-0854,101502957
106,0021-5368,2985185R
107,0149-6204,100972742
108,0023-1207,0412765
109,1179-1322,101512700
110,0003-9829,0372441
111,0006-4408,101553445
